Experiment Directory: /mnt/c/Users/rcham/Documents/Git/tomcat/human_experiments/lab_software/data_inventory/

Status            |Description                                 |Directory                       |File(s)                   |Min_Size|Max_Size|Min_Count|Max_Count|File_Size|File_Count|
------------------|--------------------------------------------|--------------------------------|--------------------------|--------|--------|---------|---------|---------|----------|
Face Images:                                                   |                                |                          |        |        |         |         |         |          |
X Dir Not Exist   |Lion Pupil 000 - info.player.json           |lion/pupil_recorder/000         |info.player.json          |100     |800     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - notify.pldata              |lion/pupil_recorder/000         |notify.pldata             |1M      |5M      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - notify_timestamps.npy      |lion/pupil_recorder/000         |notify_timestamps.npy     |100     |400     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - pupil.pldata               |lion/pupil_recorder/000         |pupil.pldata              |100M    |800M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - pupil_timestamps.npy       |lion/pupil_recorder/000         |pupil_timestamps.npy      |2M      |12M     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - surface_definitions_v01    |lion/pupil_recorder/000         |surface_definitions_v01   |500     |3K      |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - surfaces.pldata            |lion/pupil_recorder/000         |surfaces.pldata           |80M     |300M    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - surfaces_timestamps.npy    |lion/pupil_recorder/000         |surfaces_timestamps.npy   |200K    |800K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - user_info.csv              |lion/pupil_recorder/000         |user_info.csv             |10      |100K    |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - world.intrinsics           |lion/pupil_recorder/000         |world.intrinsics          |100     |800     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - world.mp4                  |lion/pupil_recorder/000         |world.mp4                 |4G      |20G     |1        |1        |(no dir) |(no dir)  |
X Dir Not Exist   |Lion Pupil 000 - world_timestamps.npy       |lion/pupil_recorder/000         |world_timestamps.npy      |200K    |900K    |1        |1        |(no dir) |(no dir)  |
..
Tiger Pupil Recorder Files Block 000:                          |                                |                          |        |        |         |         |         |          |
