group_session,station,participant,id,task,timestamp_unix,timestamp_iso8601,filename,url,timestamp_origin
exp_2023_04_27_14,tiger,154,13054,hands_on_training,1682636231.3882992,2023-04-27T22:57:11.388299+00:00,002868_2023-04-27_22-57-02.124.PM~222.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_27_14/tiger/screenshots/block_2/002868_2023-04-27_22-57-02.124.PM~222.png,lsl
exp_2023_04_28_10,leopard,162,280,rest_state,1682705587.6810317,2023-04-28T18:13:07.681032+00:00,000281_2023-04-28_18-13-19.716.PM~210.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_28_10/leopard/screenshots/block_1/000281_2023-04-28_18-13-19.716.PM~210.png,lsl
exp_2023_04_28_10,leopard,162,22095,saturn_b,1682711203.5674226,2023-04-28T19:46:43.567423+00:00,013507_2023-04-28_19-46-59.667.PM~278.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_28_10/leopard/screenshots/block_2/013507_2023-04-28_19-46-59.667.PM~278.png,lsl
exp_2023_04_28_10,lion,144,0,affective_team,1682706495.6930025,2023-04-28T18:28:15.693002+00:00,000001_2023-04-28_18-12-07.487.PM~0.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_28_10/lion/screenshots/block_1/000001_2023-04-28_18-12-07.487.PM~0.png,lsl
exp_2023_04_28_10,lion,144,9304,saturn_a,1682709511.7663782,2023-04-28T19:18:31.766378+00:00,000744_2023-04-28_18-50-32.831.PM~258.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_28_10/lion/screenshots/block_2/000744_2023-04-28_18-50-32.831.PM~258.png,lsl
exp_2023_04_28_10,tiger,152,299,rest_state,1682705587.7197511,2023-04-28T18:13:07.719751+00:00,000300_2023-04-28_18-13-19.634.PM~223.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_28_10/tiger/screenshots/block_1/000300_2023-04-28_18-13-19.634.PM~223.png,lsl
exp_2023_04_28_10,tiger,152,21890,saturn_b,1682711203.7417784,2023-04-28T19:46:43.741778+00:00,013357_2023-04-28_19-46-55.602.PM~288.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_04_28_10/tiger/screenshots/block_2/013357_2023-04-28_19-46-55.602.PM~288.png,lsl
exp_2023_05_01_13,leopard,163,505,rest_state,1682975400.4892766,2023-05-01T21:10:00.489277+00:00,000506_2023-05-01_21-10-11.397.PM~210.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_01_13/leopard/screenshots/block_1/000506_2023-05-01_21-10-11.397.PM~210.png,lsl
exp_2023_05_01_13,leopard,163,17087,saturn_a,1682979627.0443246,2023-05-01T22:20:27.044325+00:00,007878_2023-05-01_22-20-57.287.PM~270.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_01_13/leopard/screenshots/block_2/007878_2023-05-01_22-20-57.287.PM~270.png,lsl
exp_2023_05_01_13,lion,147,555,rest_state,1682975400.4496021,2023-05-01T21:10:00.449602+00:00,000556_2023-05-01_21-10-11.344.PM~207.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_01_13/lion/screenshots/block_1/000556_2023-05-01_21-10-11.344.PM~207.png,lsl
exp_2023_05_01_13,lion,147,17270,saturn_a,1682979627.2729118,2023-05-01T22:20:27.272912+00:00,008057_2023-05-01_22-20-40.605.PM~267.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_01_13/lion/screenshots/block_2/008057_2023-05-01_22-20-40.605.PM~267.png,lsl
exp_2023_05_01_13,tiger,99905,541,rest_state,1682975400.5222213,2023-05-01T21:10:00.522221+00:00,000542_2023-05-01_21-10-13.080.PM~204.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_01_13/tiger/screenshots/block_1/000542_2023-05-01_21-10-13.080.PM~204.png,lsl
exp_2023_05_01_13,tiger,99905,17692,saturn_a,1682979627.27755,2023-05-01T22:20:27.277550+00:00,008246_2023-05-01_22-20-48.193.PM~254.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_01_13/tiger/screenshots/block_2/008246_2023-05-01_22-20-48.193.PM~254.png,lsl
exp_2023_05_02_14,leopard,99911,366,rest_state,1683066009.816578,2023-05-02T22:20:09.816578+00:00,000367_2023-05-02_22-20-21.044.PM~205.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_02_14/leopard/screenshots/block_1/000367_2023-05-02_22-20-21.044.PM~205.png,lsl
exp_2023_05_02_14,leopard,99911,23633,saturn_b,1683071775.9033167,2023-05-02T23:56:15.903317+00:00,014447_2023-05-02_23-56-12.553.PM~239.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_02_14/leopard/screenshots/block_2/014447_2023-05-02_23-56-12.553.PM~239.png,lsl
exp_2023_05_02_14,lion,158,407,rest_state,1683066009.7570462,2023-05-02T22:20:09.757046+00:00,000408_2023-05-02_22-20-24.321.PM~202.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_02_14/lion/screenshots/block_1/000408_2023-05-02_22-20-24.321.PM~202.png,lsl
exp_2023_05_02_14,lion,158,22732,saturn_b,1683071775.7950754,2023-05-02T23:56:15.795075+00:00,013788_2023-05-02_23-56-12.507.PM~243.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_02_14/lion/screenshots/block_2/013788_2023-05-02_23-56-12.507.PM~243.png,lsl
exp_2023_05_02_14,tiger,164,363,rest_state,1683066009.8224657,2023-05-02T22:20:09.822466+00:00,000364_2023-05-02_22-20-21.394.PM~211.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_02_14/tiger/screenshots/block_1/000364_2023-05-02_22-20-21.394.PM~211.png,lsl
exp_2023_05_02_14,tiger,164,22580,saturn_b,1683071775.776295,2023-05-02T23:56:15.776295+00:00,013758_2023-05-02_23-56-19.318.PM~271.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_02_14/tiger/screenshots/block_2/013758_2023-05-02_23-56-19.318.PM~271.png,lsl
exp_2023_05_03_10,leopard,166,409,rest_state,1683136935.9997494,2023-05-03T18:02:15.999749+00:00,000410_2023-05-03_18-02-26.456.PM~211.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_03_10/leopard/screenshots/block_1/000410_2023-05-03_18-02-26.456.PM~211.png,lsl
exp_2023_05_03_10,leopard,166,24655,saturn_b,1683143055.684245,2023-05-03T19:44:15.684245+00:00,015753_2023-05-03_19-44-18.446.PM~264.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_03_10/leopard/screenshots/block_2/015753_2023-05-03_19-44-18.446.PM~264.png,lsl
exp_2023_05_03_10,lion,99906,386,rest_state,1683136936.1060774,2023-05-03T18:02:16.106077+00:00,000387_2023-05-03_18-02-11.859.PM~209.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_03_10/lion/screenshots/block_1/000387_2023-05-03_18-02-11.859.PM~209.png,lsl
exp_2023_05_03_10,lion,99906,24730,saturn_b,1683143055.5681014,2023-05-03T19:44:15.568101+00:00,015920_2023-05-03_19-44-21.433.PM~268.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_03_10/lion/screenshots/block_2/015920_2023-05-03_19-44-21.433.PM~268.png,lsl
exp_2023_05_03_10,tiger,160,415,rest_state,1683136935.997602,2023-05-03T18:02:15.997602+00:00,000416_2023-05-03_18-02-25.742.PM~209.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_03_10/tiger/screenshots/block_1/000416_2023-05-03_18-02-25.742.PM~209.png,lsl
exp_2023_05_03_10,tiger,160,23642,saturn_b,1683143055.7196808,2023-05-03T19:44:15.719681+00:00,015051_2023-05-03_19-44-12.876.PM~284.png,https://ivilab.cs.arizona.edu/data/tomcat/group/exp_2023_05_03_10/tiger/screenshots/block_2/015051_2023-05-03_19-44-12.876.PM~284.png,lsl
